Acorn Atom,
Amstrad CPC,
Amstrad GX4000,
Apple II,
Arcade,
Atari 2600,
Atari 5200,
Atari 7800,
Atari 8-bit,
Atari Jaguar,
Atari Jaguar CD,
Atari Lynx,
Atari ST,
Bally Astrocade,
Coleco Vision,
Commodore 64,
Commodore Amiga,
Commodore Amiga CD32,
Commodore VIC-20,
Dragon 32-64,
Emerson Arcadia 2001,
Entex Adventure Vision,
Fairchild Channel F,
GCE Vectrex,
Laserdisc,
Magnavox Odyssey 2,
Mattel Intellivision,
Microsoft Xbox,
Microsoft Xbox 360,
MSX Laserdisc,
NEC PC Engine,
NEC TurboGrafx CD,
NEC TurboGrafx-16,
Nintendo Arcade Systems,
Nintendo DS,
Nintendo Game Boy,
Nintendo Game Boy Color,
Nintendo GameCube,
Nintendo N64,
Nintendo NES,
Nintendo SNES,
Nintendo Virtual Boy,
Panasonic 3DO,
Philips CD-i,
Sega 32X,
Sega CD,
Sega Dreamcast,
Sega Game Gear,
Sega Genesis,
Sega Master System,
Sega Nomad,
Sega Saturn,
Sega SG-1000,
Sinclair ZX Spectrum,
SNK Neo-Geo MVS,
SNK Neo-Geo Pocket,
SNK Neo-Geo Pocket Color,
Sony Playstation,
Sony Playstation 2,
Sony PSP,
Texas Instruments TI 99/4A,
VTech CreatiVisio
